Document Title,DOI,PDF Link,Authors,"Publication
Year","Article Citation
Count",Abstract,Main_Objective,RQ1_Datasets,RQ1_Image_Count,RQ1_Class_Balance,RQ2_Preprocessing,RQ2_Augmentation,RQ3_RQ4_Seg_Scope,RQ5_RQ6_Class_Scope,RQ7_Model_Architecture,RQ7_Novelty,RQ7_Transfer_Learning,RQ8_Metrics_Used,RQ8_Best_Result,RQ8_SOTA_Compare,RQ9_Limitations,RQ10_Future_Work
Ms RED: A novel multi-scale residual encoding and decoding network for skin lesion segmentation,10.1016/j.media.2021.102293,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119193292&doi=10.1016%2fj.media.2021.102293&partnerID=40&md5=d6ca8ce5d39488f3cc3d35fc2917cbb7,Dai D.; Dong C.; Xu S.; Yan Q.; Li Z.; Zhang C.; Luo N.,2022,156.0,"Computer-Aided Diagnosis (CAD) for dermatological diseases offers one of the most notable showcases where deep learning technologies display their impressive performance in acquiring and surpassing human experts. In such the CAD process, a critical step is concerned with segmenting skin lesions from dermoscopic images. Despite remarkable successes attained by recent deep learning efforts, much improvement is still anticipated to tackle challenging cases, e.g., segmenting lesions that are irregularly shaped, bearing low contrast, or possessing blurry boundaries. To address such inadequacies, this study proposes a novel Multi-scale Residual Encoding and Decoding network (Ms RED) for skin lesion segmentation, which is able to accurately and reliably segment a variety of lesions with efficiency. Specifically, a multi-scale residual encoding fusion module (MsR-EFM) is employed in an encoder, and a multi-scale residual decoding fusion module (MsR-DFM) is applied in a decoder to fuse multi-scale features adaptively. In addition, to enhance the representation learning capability of the newly proposed pipeline, we propose a novel multi-resolution, multi-channel feature fusion module (M2F2), which replaces conventional convolutional layers in encoder and decoder networks. Furthermore, we introduce a novel pooling module (Soft-pool) to medical image segmentation for the first time, retaining more helpful information when down-sampling and getting better segmentation performance. To validate the effectiveness and advantages of the proposed network, we compare it with several state-of-the-art methods on ISIC 2016, 2017, 2018, and PH2. Experimental results consistently demonstrate that the proposed Ms RED attains significantly superior segmentation performance across five popularly used evaluation criteria. Last but not least, the new model utilizes much fewer model parameters than its peer approaches, leading to a greatly reduced number of labeled samples required for model training, which in turn produces a substantially faster converging training process than its peers. The source code is available at https://github.com/duweidai/Ms-RED. © 2021 Elsevier B.V.",Segmentation,ISIC 2016; ISIC 2017; ISIC 2018; and PH²,6323 (Training/Validation/Test totals across all listed datasets),No reported method (Standard splits utilized: ISIC 2018 at 70%/10%/20%; PH² at 80/20/100 images),Resizing,"Rotation (-20 to 20 degrees), horizontal flip, and cropping",Lesion Boundary,,"Ms RED (Backbone based on U-Net with multi-scale residual paths, MSR-EFM, MsR-DFM, and $M^{2}F^{2}$ modules)",New Architecture,Yes (ImageNet),"JI, Dice, ACC, Recall, and Precision",JI: 0.8703 (ISIC 2016); JI: 0.9014 (PH²),Yes,Relies on local convolution operations which ignore global contextual information and long-range dependencies,Exploring hybrid networks that combine CNNs with lightweight Transformers to bridge the encoder and decoder for global context fusion
MALUNet: A Multi-Attention and Light-weight UNet for Skin Lesion Segmentation,10.1109/BIBM55620.2022.9995040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146639844&doi=10.1109%2fBIBM55620.2022.9995040&partnerID=40&md5=cc06a3925913bc637764b9acb67dddb8,Ruan J.; Xiang S.; Xie M.; Liu T.; Fu Y.,2022,219.0,"Recently, some pioneering works have preferred applying more complex modules to improve segmentation performances. However, it is not friendly for actual clinical environments due to limited computing resources. To address this challenge, we propose a light-weight model to achieve competitive performances for skin lesion segmentation at the lowest cost of parameters and computational complexity so far. Briefly, we propose four modules: (1) DGA consists of dilated convolution and gated attention mechanisms to extract global and local feature information; (2) IEA, which is based on external attention to characterize the overall datasets and enhance the connection between samples; (3) CAB is composed of 1D convolution and fully connected layers to perform a global and local fusion of multi-stage features to generate attention maps at channel axis; (4) SAB, which operates on multi-stage features by a shared 2D convolution to generate attention maps at spatial axis. We combine four modules with our U-shape architecture and obtain a light-weight medical image segmentation model dubbed as MALUNet. Compared with UNet, our model improves the mIoU and DSC metrics by 2.39% and 1.49%, respectively, with a 44x and 166x reduction in the number of parameters and computational complexity. In addition, we conduct comparison experiments on two skin lesion segmentation datasets (ISIC2017 and ISIC2018). Experimental results show that our model achieves state-of-the-art in balancing the number of parameters, computational complexity and segmentation performances. Code is available at https://github.com/JCruan519/MALUNet.  © 2022 IEEE.",Segmentation,ISIC2017; ISIC2018,4844 (ISIC2017: 2150; ISIC2018: 2694),No (Augmentation used),Normalization; Resizing (256x256),Vertical Flip; Horizontal Flip; Random Rotation,Lesion Boundary,,"MALUNet (U-shape with DGA, IEA, CAB, SAB)",New Architecture,No,mIoU; DSC; Accuracy; Sensitivity; Specificity; Params; GFLOPs,"ISIC 2018: mIoU 80.25%, DSC 89.04%",Yes,Proposed only for skin lesion segmentation,"Improve performance via pruning/NAS, apply to other diseases"
ACPL: Anti-curriculum Pseudo-labelling for Semi-supervised Medical Image Classification,10.1109/CVPR52688.2022.02004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138192829&doi=10.1109%2fCVPR52688.2022.02004&partnerID=40&md5=3014f75d8a546b147bc466d01570ec08,Liu F.; Tian Y.; Chen Y.; Liu Y.; Belagiannis V.; Carneiro G.,2022,96.0,"Effective semi-supervised learning (SSL) in medical image analysis (MIA) must address two challenges: 1) work effectively on both multi-class (e.g., lesion classification) and multi-label (e.g., multiple-disease diagnosis) problems, and 2) handle imbalanced learning (because of the high variance in disease prevalence). One strategy to explore in SSL MIA is based on the pseudo labelling strategy, but it has a few shortcomings. Pseudo-labelling has in general lower accuracy than consistency learning, it is not specifically design for both multi-class and multi-label problems, and it can be challenged by imbalanced learning. In this paper, unlike traditional methods that select confident pseudo label by threshold, we propose a new SSL algorithm, called anti-curriculum pseudo-labelling (ACPL), which introduces novel techniques to select informative unlabelled samples, improving training balance and allowing the model to work for both multi-label and multi-class problems, and to estimate pseudo labels by an accurate ensemble of classifiers (improving pseudo label accuracy). We run extensive experiments to evaluate ACPL on two public medical image classification benchmarks: Chest X-Ray 14 for thorax disease multi-label classification and ISIC2018 for skin lesion multi-class classification. Our method outperforms previous SOTA SSL methods on both datasets 11Supported by Australian Research Council through grants DP180103232 and FT190100525. 22Code is available at https://github.com/FBLADL/ACPL. © 2022 IEEE.",Classification,ISIC 2018,10015,No,"Resizing (shorter side to 256, then cropped to 224x224)","Random crop, horizontal/vertical flip, and random rotation",,"Multi-class (7 classes: mel, nv, bcc, akiec, bkl, df, vasc)",DenseNet-121,New Architecture (Anti-curriculum Pseudo-labelling),Yes (ImageNet),"Balanced Accuracy (BACC), AUC, Precision, Recall, F1",BACC: 0.88; AUC: 0.99,Yes,Performance limited by category imbalance and high visual similarity between certain classes,Focus on cleaning data and refining image feature extraction
FIBA: Frequency-Injection based Backdoor Attack in Medical Image Analysis,10.1109/CVPR52688.2022.02021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136008370&doi=10.1109%2fCVPR52688.2022.02021&partnerID=40&md5=b325d6ae07e94018bc80d69b78c26a85,Feng Y.; Ma B.; Zhang J.; Zhao S.; Xia Y.; Tao D.,2022,83.0,"In recent years, the security of AI systems has drawn increasing research attention, especially in the medical imaging realm. To develop a secure medical image analysis (MIA) system, it is a must to study possible backdoor attacks (BAs), which can embed hidden malicious behaviors into the system. However, designing a unified BA method that can be applied to various MIA systems is challenging due to the diversity of imaging modalities (e.g., X-Ray, CT, and MRI) and analysis tasks (e.g., classification, detection, and segmentation). Most existing BA methods are designed to attack natural image classification models, which apply spatial triggers to training images and inevitably corrupt the semantics of poisoned pixels, leading to the failures of attacking dense prediction models. To address this issue, we propose a novel Frequency-Injection based Backdoor Attack method (FIBA) that is capable of delivering attacks in various MIA tasks. Specifically, FIBA leverages a trigger function in the frequency domain that can inject the low-frequency information of a trigger image into the poisoned image by linearly combining the spectral amplitude of both images. Since it preserves the semantics of the poisoned image pixels, FIBA can perform attacks on both classification and dense prediction models. Experiments on three benchmarks in MIA (i.e., ISIC-2019 [4] for skin lesion classification, KiTS-19 [17] for kidney tumor segmentation, and EAD-2019 [1] for endoscopic artifact detection), validate the effectiveness of FIBA and its superiority over stateof-the-art methods in attacking MIA models and bypassing backdoor defense. Source code will be available at code. © 2022 IEEE.",Developing A Unified Backdoor Attack Method For Various Medical Image Analysis Tasks,ISIC-2019,25331,No (Balanced via Data Augmentation),Grayscale conversion (for CT images) and resizing,Frequency-injection (blending spectral amplitude) and pseudo trigger robust training,,"Multi-class (8 categories: melanoma, melanocytic nevus, basal cell carcinoma, actinic keratosis, benign keratosis, dermatofibroma, vascular lesion, and squamous cell carcinoma)",ResNet50,New Architecture (Frequency-Injection based Backdoor Attack),Yes (ImageNet),Benign Accuracy (BA) and Attack Success Rate (ASR),BA: 85.43%; ASR: 99.53%,Yes,FFT and iFFT operations are slightly more time-consuming (1.5x–1.8x) than spatial triggers,Faster GPU-based implementation and research into developing more secure/trustworthy AI systems against attacks
Finding and removing Clever Hans: Using explanation methods to debug and improve deep models,10.1016/j.inffus.2021.07.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113458167&doi=10.1016%2fj.inffus.2021.07.015&partnerID=40&md5=266f4e856422a7b806d5207ac06c06d3,Anders C.J.; Weber L.; Neumann D.; Samek W.; Müller K.-R.; Lapuschkin S.,2022,83.0,"Contemporary learning models for computer vision are typically trained on very large (benchmark) datasets with millions of samples. These may, however, contain biases, artifacts, or errors that have gone unnoticed and are exploitable by the model. In the worst case, the trained model does not learn a valid and generalizable strategy to solve the problem it was trained for, and becomes a “Clever Hans” predictor that bases its decisions on spurious correlations in the training data, potentially yielding an unrepresentative or unfair, and possibly even hazardous predictor. In this paper, we contribute by providing a comprehensive analysis framework based on a scalable statistical analysis of attributions from explanation methods for large data corpora. Based on a recent technique — Spectral Relevance Analysis — we propose the following technical contributions and resulting findings: (a) a scalable quantification of artifactual and poisoned classes where the machine learning models under study exhibit Clever Hans behavior, (b) several approaches we collectively denote as Class Artifact Compensation, which are able to effectively and significantly reduce a model's Clever Hans behavior, i.e., we are able to un-Hans models trained on (poisoned) datasets, such as the popular ImageNet data corpus. We demonstrate that Class Artifact Compensation, defined in a simple theoretical framework, may be implemented as part of a neural network's training or fine-tuning process, or in a post-hoc manner by injecting additional layers, preventing any further propagation of undesired Clever Hans features, into the network architecture. Using our proposed methods, we provide qualitative and quantitative analyses of the biases and artifacts in, e.g., the ImageNet dataset, the Adience benchmark dataset of unfiltered faces, and the ISIC 2019 skin lesion analysis dataset. We demonstrate that these insights can give rise to improved, more representative, and fairer models operating on implicitly cleaned data corpora. © 2021 The Authors",Debugging And Improving Deep Models By Removing Clever Hans Behavior,ISIC 2019; ImageNet; Adience; Modified MNIST; CIFAR-10,25331 (ISIC 2019),No (ISIC 2019 is highly imbalanced; Class Artifact Compensation used to mitigate bias),"Center-cropping (ImageNet), Resizing","A-ClArC (Augmentative Class Artifact Compensation): strategic data augmentation with artifact signals (e.g., watermarks, skin markers)",,Both (ISIC 2019: Multi-class; Adience: Binary Gender),"VGG-16, Custom CNNs","New Framework (Class Artifact Compensation: A-ClArC and P-ClArC) for unlearning/suppressing ""Clever Hans"" biases",Yes (ImageNet),"Accuracy, AUC, ROC, Spectral Relevance Analysis (SpRAy), Softmax Probabilities",ACC: 82.15% (ISIC 2019 baseline); Accuracy on poisoned sets improved significantly after ClArC,Yes (compared to standard baseline and Spectral Signature),Identifying CH artifacts requires human expert domain knowledge; ClArC does not necessarily increase standard benchmark accuracy but improves true generalization,Developing more accurate/general artifact representations; Automating CH detection further; Exploring the intersection of security and functional data cleaning
Skin-Net: a novel deep residual network for skin lesions classification using multilevel feature extraction and cross-channel correlation with detection of outlier,10.1186/s40537-023-00769-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162215776&doi=10.1186%2fs40537-023-00769-6&partnerID=40&md5=b6215d37b063990b05a75c4ab2a2549c,Alsahafi Y.S.; Kassem M.A.; Hosny K.M.,2023,88.0,"Human Skin cancer is commonly detected visually through clinical screening followed by a dermoscopic examination. However, automated skin lesion classification remains challenging due to the visual similarities between benign and melanoma lesions. In this work, the authors proposed a new Artificial Intelligence-Based method to classify skin lesions. In this method, we used Residual Deep Convolution Neural Network. We implemented several convolution filters for multi-layer feature extraction and cross-channel correlation by sliding dot product filters instead of sliding filters along the horizontal axis. The proposed method overcomes the imbalanced dataset problem by converting the dataset from image and label to vector of image and weight. The proposed method is tested and evaluated using the challenging datasets ISIC-2019 & ISIC-2020. It outperformed the existing deep convolutional networks in the multiclass classification of skin lesions. Graphical Abstract: [Figure not available: see fulltext.]. © 2023, The Author(s).",Classification,ISIC-2019 and ISIC-2020,58457 (25331 from ISIC-2019 and 33126 from ISIC-2020),No (Addressed by converting dataset to image and weights vector),Resizing,"Random rotation (0-360°), vertical and horizontal flips, and vertical and horizontal shifts (applied only to minority classes in ISIC-2019)",,Both; Multi-class (9 classes for ISIC-2019 including outliers; 7 classes for ISIC-2020),Skin-Net (54-layer Residual Deep Convolutional Neural Network with cross-channel correlation),New Architecture,No (randomly initialized parameters),"Accuracy, Sensitivity, Specificity, Precision, F-score, Confusion Matrix, and ROC","ISIC-2020: Accuracy 99.05%, Specificity 99.42%, Sensitivity 96.57%",Yes,"High computational expense (not lightweight), unsuitable for microdevices or memory-limited hardware, and currently tested only on skin lesions",Generalizing the model for different classification tasks beyond skin lesions and identifying various other malignancies
A Novel Vision Transformer Model for Skin Cancer Classification,10.1007/s11063-023-11204-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150891644&doi=10.1007%2fs11063-023-11204-5&partnerID=40&md5=ec84d897646771923f3e894cf7570c02,Yang G.; Luo S.; Greer P.,2023,58.0,"Skin cancer can be fatal if it is found to be malignant. Modern diagnosis of skin cancer heavily relies on visual inspection through clinical screening, dermoscopy, or histopathological examinations. However, due to similarity among cancer types, it is usually challenging to identify the type of skin cancer, especially at its early stages. Deep learning techniques have been developed over the last few years and have achieved success in helping to improve the accuracy of diagnosis and classification. However, the latest deep learning algorithms still do not provide ideal classification accuracy. To further improve the performance of classification accuracy, this paper presents a novel method of classifying skin cancer in clinical skin images. The method consists of four blocks. First, class rebalancing is applied to the images of seven skin cancer types for better classification performance. Second, an image is preprocessed by being split into patches of the same size and then flattened into a series of tokens. Third, a transformer encoder is used to process the flattened patches. The transformer encoder consists of N identical layers with each layer containing two sublayers. Sublayer one is a multihead self-attention unit, and sublayer two is a fully connected feed-forward network unit. For each of the two sublayers, a normalization operation is applied to its input, and a residual connection of its input and its output is calculated. Finally, a classification block is implemented after the transformer encoder. The block consists of a flattened layer and a dense layer with batch normalization. Transfer learning is implemented to build the whole network, where the ImageNet dataset is used to pretrain the network and the HAM10000 dataset is used to fine-tune the network. Experiments have shown that the method has achieved a classification accuracy of 94.1%, outperforming the current state-of-the-art model IRv2 with soft attention on the same training and testing datasets. On the Edinburgh DERMOFIT dataset also, the method has better performance compared with baseline models. © 2023, The Author(s).",Classification,HAM10000; Edinburgh DERMOFIT,10015 (HAM10000); 1300 (DERMOFIT),No (Imbalanced); Balanced via Random Oversampling and Undersampling,"Resizing (384x384), Normalization (0-1), Patch Extraction","Rotation, Width/Height Shift, Zoom, Flip, Random Saturation, Contrast, Brightness",,"Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC; 10 classes for DERMOFIT)",ViTfSCD (Based on ViT-Base/Large with modified classification head),New Architecture (ViTfSCD with Batch Norm in head),Yes (ImageNet),"Accuracy, Precision, Sensitivity, Specificity, F1-score",ACC: 94.1% (ViTfSCD-Large on HAM10000),Yes,High computational cost/parameters; Data hungry (needs large pretraining); Poor generalization to mobile/noisy images,"Scale up model size; Pretrain on larger datasets (e.g., JFT-300M)"
A Novel framework of Adaptive fuzzy-GLCM Segmentation and Fuzzy with Capsules Network (F-CapsNet) Classification,10.1007/s00521-023-08666-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161861928&doi=10.1007%2fs00521-023-08666-y&partnerID=40&md5=df613429816da95b5ce391d8ada638d5,Ali R.; Manikandan A.; Xu J.,2023,52.0,"In this paper, offer a new framework for skin disease image recognition using deep learning techniques and local descriptor encoding approaches. For the purpose of detecting melanoma early, skin lesions must be accurately classified. In this research, an automatic image preprocessing approach is proposed for the removal of noise artefacts in photographs, including thin and thick hair objects, surgical ink markings, dark halo effects, and ebony frames. Due to hazy contrasts and distortions at the border margins, segmenting images are quite challenging. So, this research suggests a partitioning technique based on a fuzzy gray-level co-occurrence matrix (GLCM) that is both effective and adaptive. An alternative to convolutional neural networks (CNN) is proposed: the capsule-based network. An object's existence and the relationship between its functions are represented by a group of neurons (in logical units) that make up a vector called a capsule. While synthetic product neural networks use max-pooling layers to define capsule coupling between subsequent layers, capsule networks repeatedly utilise a dynamic routing technique to do so. Alternatively said, the routing-by-agreement approach offers learning between capsule layers. To assess the efficacy of the F-CapsNet technique, three widely used datasets—the ISIC 2017 Challenge, the 2019 Challenge, and the PH2 datasets—are employed. The suggested technique has an average accuracy of 99.16% for the ISBI 2017 test dataset and 99.45% accuracy for the ISBI 2019 test dataset. Additionally, the PH2 test dataset shows that the suggested approach has an average accuracy of 98.42%. © 2023, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","Classification (Skin Disease Image Recognition, Specifically Melanoma Detection)",ISBI 2017; ISIC 2019; PH2,"20250 (ISBI 2017: 2750, ISIC 2019: 17300, PH2: 200)","Balanced (Mentioned ""including balance data"")",Vignette/Dark Frame Removal; Resizing (255x255); Hair Removal; Ink Marker Removal; Contrast Stretching; Log Transformation,Not reported,Lesion Boundary,Binary (Melanoma vs. Non-Melanoma),F-CapsNet (Fuzzy-based Capsule Network),New Architecture (Fuzzy Logic + CapsNet),No,Accuracy; Sensitivity; Specificity; AUC; Jaccard; Dice; Execution Time,Accuracy: 99.45% (ISIC 2019),Yes,None reported,None reported
EIU-Net: Enhanced feature extraction and improved skip connections in U-Net for skin lesion segmentation,10.1016/j.compbiomed.2023.107081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161565505&doi=10.1016%2fj.compbiomed.2023.107081&partnerID=40&md5=dc6d54f3380f776755da274fd1f9f4c9,Yu Z.; Yu L.; Zheng W.; Wang S.,2023,64.0,"Skin lesion segmentation is a computer-aided diagnosis method for quantitative analysis of melanoma that can improve efficiency and accuracy. Although many methods based on U-Net have achieved tremendous success, they still cannot handle challenging tasks well due to weak feature extraction. In response to skin lesion segmentation, a novel method called EIU-Net is proposed to tackle the challenging task. To capture the local and global contextual information, we employ inverted residual blocks and an efficient pyramid squeeze attention (EPSA) block as the main encoders at different stages, while atrous spatial pyramid pooling (ASPP) is utilized after the last encoder and the soft-pool method is introduced for downsampling. Also, we propose a novel method named multi-layer fusion (MLF) module to effectively fuse the feature distributions and capture significant boundary information of skin lesions in different encoders to improve the performance of the network. Furthermore, a reshaped decoders fusion module is used to obtain multi-scale information by fusing feature maps of different decoders to improve the final results of skin lesion segmentation. To validate the performance of our proposed network, we compare it with other methods on four public datasets, including the ISIC 2016, ISIC 2017, ISIC 2018, and PH2 datasets. And the main metric Dice scores achieved by our proposed EIU-Net are 0.919, 0.855, 0.902, and 0.916 on the four datasets, respectively, outperforming other methods. Ablation experiments also demonstrate the effectiveness of the main modules in our proposed network. Our code is available at https://github.com/AwebNoob/EIU-Net. © 2023 Elsevier Ltd",Segmentation,ISIC 2016; ISIC 2017; ISIC 2018; PH2,~6825 (ISIC 2016: 1279; ISIC 2017: 2750; ISIC 2018: 2596; PH2: 200),No (Augmentation used to increase diversity),"Resizing (224x320), Normalization [0-1]","Horizontal/Vertical flips, Random contrast enhancement, HSV adjustment, Regional coarse dropout",Lesion Boundary,,"EIU-Net (U-Net with Inverted Residual Blocks, EPSA, ASPP, Multi-layer Fusion, Reshaped Decoders Fusion)",New Architecture,No,"Jaccard Index, Dice Coefficient, Accuracy, Sensitivity, Specificity","Dice: 0.919 (ISIC 2016), 0.855 (ISIC 2017), 0.902 (ISIC 2018)","Yes (vs. U-Net, CE-Net, CPFNet, FAT-Net, DCSAU-Net, etc.)","Fails on extremely low contrast, highly irregular boundaries, and serious hair occlusion",Reduce network parameters; Improve boundary distinction
Classification of skin cancer using adjustable and fully convolutional capsule layers,10.1016/j.bspc.2023.104949,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153480340&doi=10.1016%2fj.bspc.2023.104949&partnerID=40&md5=f8e209e5cf9ae3e134d8f004a6f1155c,Goceri E.,2023,56.0,"Early and accurate diagnosis plays a significant role in increasing the survival rate of patients with skin cancer. Therefore, automated methods with convolutional neural networks have been developed to help dermatologists in making their decision about the disease. However, these kinds of networks have these two important shortcomings that cause low performance when real-word images are used: (i) They need huge number of training datasets, and (ii) they lead to the loss of information because of the pooling process. Although, capsule networks have been proposed recently to solve these issues and to achieve classification of skin cancers with high accuracy, they have their own defects or disadvantages. Therefore, in this work, a new neural network constructed by adjustable and convolutional capsule layers is proposed. In the adjustable capsule layer, the spatial relationships of capsule vectors are encoded with a constant learnable bias. The capsule vectors are used in a sub-network to obtain adjustable values. The proposed network can learn encoding and modelling of the spatial relation between capsule vectors and preserves the vectors’ orientations. The main contributions of this work are as follows: (i) A novel network including capsule layers is presented. (ii) The performance of the proposed network in the multi-class classification of skin cancer is presented. (iii) Comparative evaluations of the capsule networks applied for the classification of skin cancers are presented. Experiments indicate that the proposed network is promising in the classification of seven kinds of skin cancer (with an accuracy of 95.24%). © 2023 Elsevier Ltd",Classification,HAM10000,805 (Balanced subset selected from HAM10000),Yes (Manually balanced),Resizing (224x224),"Shearing, Translation, Rotation, HSV transformation, Noise injection (Gaussian)",,"Multi-class (7 classes: Vascular lesion, Actinic keratoses, BCC, Dermatofibroma, Melanocytic nevi, Melanoma, Benign keratosis)",AFConv-CapsNet (VGG19 Backbone + Adjustable Capsule Layer),New Architecture (Adjustable Capsule Layer + Self-Routing),Yes,"Accuracy, Sensitivity, Specificity, F1-Score, MCC","Acc: 95.24%, Sp: 99.23%, F1: 95.02%","Yes (vs. DenseNet121, MobileNetV2, InceptionResNetV2, FixCaps, MEL-Cap)",Higher computation time than CNNs; Not tested on dark skin/diverse races; Small subset of data used,Test on datasets with diverse race/skin type/age; evaluate on other medical imaging tasks
MSCA-Net: Multi-scale contextual attention network for skin lesion segmentation,10.1016/j.patcog.2023.109524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150247431&doi=10.1016%2fj.patcog.2023.109524&partnerID=40&md5=6e3129be7c6ae0ed7ed5e8bca330c1e0,Sun Y.; Dai D.; Zhang Q.; Wang Y.; Xu S.; Lian C.,2023,87.0,"Lesion segmentation algorithms automatically outline lesion areas in medical images, facilitating more effective identification and assessment of the clinically relevant features, and improving the efficacy and diagnosis accuracy. However, most fully convolutional network based segmentation methods suffer from spatial and contextual information loss when decreasing image resolution. To overcome this shortcoming, this paper proposes a skin lesion segmentation model, namely, the Multi-Scale Contextual Attention Network (MSCA-Net), which can exploit the multi-scale contextual information in images. Inspired by the skip connection of U-Net, we design a multi-scale bridge (MSB) module which interacts with multi-scale features to effectively fuse the multi-scale contextual information of the encoder and decoder path features. We further propose a global-local channel spatial attention module (GL-CSAM), aiming at capturing global contextual information. In addition, to take full advantage of the multi-scale features of the decoder, we propose a scale-aware deep supervision (SADS) module to achieve hierarchical iterative deep supervision. Comprehensive experimental results on the public dataset of ISIC 2017, ISIC 2018, and PH2 show that our proposed method outperforms other state-of-the-art methods, demonstrating the efficacy of our method in skin lesion segmentation. Our code is available at https://github.com/YonghengSun1997/MSCA-Net. © 2023",Segmentation,"ISIC 2017, ISIC 2018, PH2","4,794 (ISIC 2017: 2000, ISIC 2018: 2594, PH2: 200)",,Resize (224x320),"Random horizontal flip, random vertical flip, random crop",Lesion Boundary,,"MSCA-Net (U-Net backbone, ResNet34 encoder, MSB, GL-CSAM, SADS)",New Architecture,Yes [ResNet34],"Jaccard Index (JI), Dice Score Coefficient (DSC), Accuracy (ACC), Sensitivity (SE), Specificity (SP)","ISIC 2018: ACC 96.41%, DSC 90.52%, JI 84.18%",Yes,High parameter count from the backbone; boundary errors for small-size lesions,"Design a lightweight backbone; explore hard example mining, focal loss, and two-stage frameworks"
Multi-Class Skin Cancer Classification Using Vision Transformer Networks and Convolutional Neural Network-Based Pre-Trained Models,10.3390/info14070415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166386318&doi=10.3390%2finfo14070415&partnerID=40&md5=ce4b40678d87918e4da64f98089d70d7,Arshed M.A.; Mumtaz S.; Ibrahim M.; Ahmed S.; Tahir M.; Shafi M.,2023,52.0,"Skin cancer, particularly melanoma, has been recognized as one of the most lethal forms of cancer. Detecting and diagnosing skin lesions accurately can be challenging due to the striking similarities between the various types of skin lesions, such as melanoma and nevi, especially when examining the color images of the skin. However, early diagnosis plays a crucial role in saving lives and reducing the burden on medical resources. Consequently, the development of a robust autonomous system for skin cancer classification becomes imperative. Convolutional neural networks (CNNs) have been widely employed over the past decade to automate cancer diagnosis. Nonetheless, the emergence of the Vision Transformer (ViT) has recently gained a considerable level of popularity in the field and has emerged as a competitive alternative to CNNs. In light of this, the present study proposed an alternative method based on the off-the-shelf ViT for identifying various skin cancer diseases. To evaluate its performance, the proposed method was compared with 11 CNN-based transfer learning methods that have been known to outperform other deep learning techniques that are currently in use. Furthermore, this study addresses the issue of class imbalance within the dataset, a common challenge in skin cancer classification. In addressing this concern, the proposed study leverages the vision transformer and the CNN-based transfer learning models to classify seven distinct types of skin cancers. Through our investigation, we have found that the employment of pre-trained vision transformers achieved an impressive accuracy of 92.14%, surpassing CNN-based transfer learning models across several evaluation metrics for skin cancer diagnosis. © 2023 by the authors.",Classification,HAM10000,"10015 (7140 for training, 140 for validation, 140 for testing)",Yes (Addressed via data augmentation for minority classes and random under-sampling to achieve 980 samples per class for training),Resizingand normalization,"Position augmentation (scaling, cropping, affine transformation, padding, flipping, translation, rotation) and color augmentation (hue, brightness, saturation, contrast)",,"Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC)","Vision Transformer (ViT) and various CNN architectures (ResNet50, ResNet101, ResNet152, VGG16, VGG19, etc.)",New Architecture (Applying off-the-shelf ViT as a competitive alternative to CNNs for multi-class skin cancer classification),Yes (ImageNet-21k / ImageNet),"Accuracy, Precision, Recall, and F1-score",Accuracy: 92.14% (ViT model),Yes (Compared with 11 CNN-based transfer learning methods and previous SOTA studies),Requires further improvements in preprocessing techniques for deep learning models,Further investigate and optimize preprocessing techniques to enhance model reliability
