Document Title,QUADAS_Patient_Selection,QUADAS_Index_Test,QUADAS_Reference_Standard,QUADAS_Flow_and_Timing
Optimize brain tumor multiclass classification with manta ray foraging and improved residual block techniques,High Risk,Low Risk,Unclear,Low Risk / Unclear
DU-Net+: a fully convolutional neural network architecture for semantic segmentation of skin lesions,High Risk,Unclear,Unclear,Low Risk / Unclear
Enhancing Skin Cancer Detection with Multimodal Data Integration: A Combined Approach Using Images and Clinical Notes,High Risk,High Risk,Low Risk,Low Risk / Unclear
Enhancing Melanoma Diagnostic: Harnessing the Synergy of AI and CNNs for Groundbreaking Advances in Early Melanoma Detection and Treatment Strategies,High Risk,Unclear,Low Risk,Low Risk / Unclear
A Geometric algebra-enhanced network for skin lesion detection with diagnostic prior,High Risk,Unclear,Unclear,Low Risk / Unclear
A Hybrid Deep Learning Approach for Skin Lesion Segmentation With Dual Encoders and Channel-Wise Attention,High Risk,Unclear,Unclear,Low Risk / Unclear
Enhancing the performance of CNN models for pneumonia and skin cancer detection using novel fractional activation function,High Risk,Unclear,Unclear,Low Risk / Unclear
Unleashing the power of Manta Rays Foraging Optimizer: A novel approach for hyper-parameter optimization in skin cancer classification,High Risk,Low Risk,Unclear,Low Risk / Unclear
A hybrid feature fusion deep learning framework for multi-source medical image analysis,High Risk,Unclear,Unclear,Low Risk / Unclear
CSWin-UNet: Transformer UNet with cross-shaped windows for medical image segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
DiffMIC-v2: Medical Image Classification via Improved Diffusion Network,High Risk,Unclear,Unclear,Low Risk / Unclear
Next-generation approach to skin disorder prediction employing hybrid deep transfer learning,Unclear,High Risk,Unclear,Low Risk / Unclear
Multi-feature Fusion Deep Network for Skin Disease Diagnosis,High Risk,Unclear,Unclear,Low Risk / Unclear
Improved CNN architecture for automated classification of skin diseases,Unclear,Unclear,Unclear,Low Risk / Unclear
On-patient medical record and mRNA therapeutics using intradermal microneedles,Unclear,Unclear,Unclear,Low Risk / Unclear
An innovative deep learning framework for skin cancer detection employing ConvNeXtV2 and focal self-attention mechanisms,High Risk,High Risk,Unclear,Low Risk / Unclear
Temporal integration of ResNet features with LSTM for enhanced skin lesion classification,High Risk,Unclear,Unclear,Low Risk / Unclear
Dermo classify: A dermatologist skin disease detection and classification using DCNN,High Risk,High Risk,Low Risk,Low Risk / Unclear
U-Net V2: Rethinking the Skip Connections of U-Net for Medical Image Segmentation,High Risk,Low Risk,Unclear,Low Risk / Unclear
Multimodal Biomedical Image Segmentation by Using Multi-Path U-Net,High Risk,Unclear,Unclear,Low Risk / Unclear
MixFormer: A Mixed CNN-Transformer Backbone for Medical Image Segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
Simple is what you need for efficient and accurate medical image segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
ASP-VMUNet: Atrous Shifted Parallel Vision Mamba U-Net for Skin Lesion Segmentation,High Risk,Unclear,Unclear,High Risk
Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,High Risk,Unclear,Low Risk,Low Risk / Unclear
